NR_NO;DATA_NO;FLASCHEN_FUELLEN_NR;FLASCHEN_TUEV_NR;MASKEN_PRUEFEN_NR;MASKEN_REINIGEN_NR;LA_PRUEFEN_NR;LA_REINIGEN_NR;GERAETE_PRUEFEN_NR;GERAETE_REINIGEN_NR
1;1;;;;;;;;
2;2;5, 6, 7,8;;;;;;;
3;3;1, 5, 6;;;;;;;
4;4;;;;;;;;
5;5;;;;;;;;
6;6;;;;;;;;
7;7;;;;;;;;
8;8;;;1 2 3 4 5 6 7 8;;;;1 2 3 4;
9;9;;;;;;;;
10;10;10  11;;;;;;;
11;11;;;;;;;1,2,3,4;
12;12;;;1,2,3,4;;;;;
13;13;;;2,3,5,6;;;;;
14;14;;;;;;;;
15;15;;;1,2,3,4;;;;1,2,3,4;
16;16;;;;;;;;
17;17;;;;;;;;
18;18;;;;;;;;
19;19;7/1/3/5/10/11;;;;;;;
20;20;;;;;;;;
21;21;;;;;;;;
22;22;;;;;;;;
23;23;;;3 6 7 8;;;;1 3;
24;24;5 6;;;;;;;
25;25;;;1 2 4 5;;;;2 4;
26;26;1, 6,;;;;;;;
27;27;;;;;;;;
28;28;13,14,20,21;;;;;;;
29;29;1,2,3,7;;;;;;;
30;30;5,6,1,8;;;;;;;
31;31;2  3  5  6;;;;;;;
32;32;6,8,9,12;;;;;;;
33;33;;;;;;;;
34;34;;;;;;;;
35;35;;;;;;;;
36;36;;;;;;;;
37;37;;;;;;;;
38;38;;;;;;;;
39;39;;;;;;;;
40;40;2, 4;;;;;;;
41;41;;;;;;;1,2;
42;42;;;1;;;;;
43;43;;;1,2;;;;;
44;44;;;;;;;;
45;45;;;;;;;;
46;46;;;;;;;;
47;47;;;1 2 3 4 5 6 7 8;;;;1 2 3 4;
48;48;;;1,2,3,4;;;;1,2,3,4;
49;49;;;;;;;3,4;
50;50;;;;;;;;
51;51;;;;;;;;
52;52;;;;;;;;
53;53;24,21,18,7,56;;;;;;;
54;54;;;;;;;;
55;55;7    17;;;;;;;
56;56;;;;;;;;
57;57;;;;;;;;
58;58;;;;;;;;
59;59;;;;;;;;
60;60;1,2;;3,4;;;;1,2,3,4;
61;61;2,5,6,7;;;;;;;
62;62;1,3,5,7;;;;;;;
63;63;3 8 9 11;;;;;;;
64;64;13 15 20 21;;;;;;;
65;65;;;;;;;;
66;66;1,2,3,4;;;;;;;
67;67;1,2,3,4;;;;;;;
68;68;3,4;;;;;;;
69;69;;;;;;;;
70;70;;;;;;;;
71;71;;;;;;;3,8,2,9;
72;72;;;;;;;;
73;73;;;;;;;;
74;74;1,2,3,4;;;;;;;
75;75;1,2,3,4;;;;;;;
76;76;3,1;;;;;;;
77;77;3,4;;;;;;;
78;78;;;;;;;;
79;79;;;;;;;;
80;80;;;;;;;;
81;81;;;;;;;;
82;82;;;;;;;;
83;83;2   3   4   7;;;;;;;
84;84;;;;;;;;
85;85;;;;;;;;
86;86;;;;;;;;
87;87;;;;;;;;
88;88;1,2,3,4;;;;;;;
89;89;5,6;;;;;;;
90;90;S1, S2, S3, S4, 20, 4, 18, 21;;;;;;;
91;91;;;;;;;;
92;92;;;;;;;;
93;93;;;;;;;;
94;94;;;;;;;;
95;95;1,2,3,4;;;;;;;
96;96;1,2;;;;;;;
97;97;2   3    6;;;;;;;
98;98;3,4;;;;;;;
99;99;30 32;;;;;;;
100;100;1 2 6 7;;;;;;;
101;101;;;;;;;;
102;102;2,4,6,8;;;;;;;
103;103;3,4,6,7;;;;;;;
104;104;3;;;;;;;
105;105;1,2,6,8;;;;;;;
106;106;;;;;;;;
107;107;;;;;;;;
108;108;6, 7, 8, 10, 11, 12;;;;;;;
109;109;;;;;;;;
110;110;;;;;;;;
111;111;;;;;;;;
112;112;;;;;;;;
113;113;;;;;;;;
114;114;;;;;;;;
115;115;;;;;;;;
116;116;;;;;;;;
117;117;4, 5, 7, 8;;;;;;;
118;118;10, 11;;;;;;;
119;119;1 16 17 28;;;;;;;
120;120;1, 2, 3, 4;;;;;;;
121;121;;;;;;;1,2,3,4;
122;122;6,15,25,29;;;;;;;
123;123;;;;;;;;
124;124;3,6;;;;;;;
125;125;1,5;;1,2;;;;;
126;126;3,7;;;;;;;
127;127;4 22 30 33 36 10;;;;;;;
128;128;1,2,3,4;;;;;;;
129;129;2,3,5,7;;;;;;;
130;130;;;;;;;;
131;131;;;;;;;;
132;132;;;1,2;;;;;
133;133;;;1,2,3,4,5,6,7,8;;;;;
134;134;;;1 2 3 4 5 6 7 8 ;;;;1 2 3 4;
135;135;5 6 1 8;;;;;;;
136;136;;;1,2,3,4;;;;1,2,3,4;
137;137;;;;;;;;
138;138;;;;;;;;
139;139;4    8;;;;;;;
140;140;;;;;;;;
141;141;;;;;;;;
142;142;;;1;;;;1;
143;143;;;;;;;;
144;144;;;;;;;;
145;145;;;;;;;;
146;146;;;;;;;;
147;147;2, 35, 23,6,;;;;;;;
148;148;;;;;;;;
149;149;8,9;;;;;;;
150;150;1,3,5;;;;;;;
151;151;2,3,4,7;;;;;;;
152;152;;;;;;;;
153;153;;;;;;;;
154;154;21/13/16/15;;;;;;;
155;155;;;;;;;;
156;156;;;;;;;;
157;157;;;;;;;;
158;158;;;;;;;;
159;159;;;1,2,3,4;;;;;
160;160;;;5;;;;;
161;161;;;;;;;;
162;162;;;;;;;;
163;163;;;12345678;;;;;
164;164;;;;;;;;
165;165;5,6,7,8;;;;;;;
166;166;2,9,5;;;;;;;
167;167;;;;;;;;
168;168;1,2,3,4;;;;;;;
169;169;;;;;;;;
170;170;19,33,35,36;;19,21,31,35,39,36;;;;;
171;171;2,4;;;;;;;
172;172;;;;;;;;
173;173;;;;;;;;
174;174;;;;;;;;
175;175;;;;;;;;
176;176;;;1,2,3,4;;;;1,2,3,4;
177;177;;;;;;;;
178;178;;;;;;;1,2,3,4;
179;179;;;;;;;;
180;180;;;;;;;;
181;181;;;Reinigen;;;;;
182;182;;;Reinigen;;;;;
183;183;;;;;;;;
184;184;;;;;;;;
185;185;;;;;;;;
186;186;;;;;;;;
187;187;;;;;;;;
188;188;;;;;;;;
189;189;;;;;;;;
190;190;1 / 4;;;;;;;
191;191;;;;;;;;
192;192;;;;;;;;
193;193;;;;;;;;
194;194;;;;;;;;
195;195;;;;;;;;
196;196;;;;;;;;
197;197;;;;;;;;
198;198;16,39;;;;;;;
199;199;;;;;;;;
200;200;;;;;;;;
201;201;;;;;;;;
202;202;1,8,5,6;;;;;;;
203;203;;;;;;;;
204;204;1  3  12;;;;;;;
205;205;;;;;;;;
206;206;;;;;;;;
207;207;;;;;;;;
208;208;;;;;;;;
209;209;;;;;;;;
210;210;2,3,4,7,8;;;;;;;
211;211;2,3,4,7,8;;;;;;;
212;212;;;;;;;;
213;213;;;;;;;;
214;214;;;;;;;;
215;215;;;;;;;;
216;216;;;;;;;;
217;217;1,5,6,7;;;;;;;
218;218;;;;;;;;
219;219;;;;;;;;
220;220;;;;;;;;
221;221;;;;;;;;
222;222;4, 8;;;;;;;
223;223;3, 8;;;;;;;
224;224;4;;;;;;;
225;225;;;;;;;;
226;226;;;;;;;;
227;227;5;;;;;;;
228;228;1, 2, 4, 5;;;;;;;
229;229;2, 7;;;;;;;
230;230;2,7;;;;;;;
231;231;8,5,3,1;;;;;;;
232;232;;;;;;;;
233;233;6 4 1 8;;;;;;;
234;234;;;;;;;;
235;235;;;;;;;;
236;236;6 7 4 2;;;;;;;
237;237;;;1 2 4 5;;;;1 4;
238;238;1  3  5  8;;;;;;;
239;239;2 7;;;;;;;
240;240;;;1,2,3,4;;;;1,2,3,4;
241;241;1,2;;;;;;;
242;242;3;;;;;;;
243;243;1,5,6;;1,2,3,4,6,7,8;;;;1,3,4;
244;244;6,8;;;;;;;
245;245;;;;;;;;
246;246;;;;;;;;
247;247;;;;;;;;
248;248;;;;;;;;
249;249;;;;;;;;
250;250;;;;;;;;
251;251;3, 15, 16, 20;;;;;;1,2,3,4;
252;252;;;;;;;;
253;253;;;;;;;;
254;254;;;;;;;;
255;255;5,2,1;;;;;;;
256;256;7,2;;;;;;;
257;257;18,6,4,31;;;;;;;
258;258;;;;;;;;
259;259;13;;;;;;;
260;260;;;;;;;;
261;261;;;;;;;;
262;262;;;;;;;;
263;263;;;;;;;;
264;264;;;;;;;;
265;265;;;;;;;;
266;266;;;;;;;;
267;267;;;;;;;;
268;268;;;;;;;;
269;269;7,8;;;;;;;
270;270;;;;;;;;
271;271;;;;;;;;
272;272;;;;;;;;
273;273;;;;;;;;
274;274;;;;;;;;
275;275;;;;;;;;
276;276;;;;;;;;
277;277;;;;;;;;
278;278;4,6;;;;;;;
279;279;;;;;;;;
280;280;3,7;;;;;;;
281;281;;;;;;;;
282;282;;;;;;;;
283;283;;;;;;;;
284;284;;;;;;;;
285;285;;;5;;;;1,2,3,4;
286;286;;;;;;;;
287;287;;;;;;;;
288;288;2,5;;1,3;;;;1,3,5,7;
289;289;;;19,39,27,36,33,5;;;;;
290;290;;;;;;;;
291;291;;;;;;;;
292;292;;;;;;;;
293;293;;;1,2,6,7;;;;;
294;294;;;;;;;;
295;295;10, 12, 15, 34;;;;;;;
296;296;8,5,1,3;;;;;;;
297;297;;;;;;;;
298;298;;;;;;;;
299;299;;;;;;;;
300;300;;;;;;;;
301;301;;;;;;;;
302;302;;;;;;;;
303;303;12;;;;;;;
304;304;;;;;;;1,2,3,4;
305;305;;;;;;;;
306;306;;;;;;;;
307;307;;;;;;;;
308;308;;;;;;;;
309;309;;;;;;;;
310;310;;;;;;;;
311;311;;;;;;;;
312;312;;;1,2,3,4,5;;;;;
313;313;;;;;;;;
314;314;;;;;;;;
315;315;;;;;;;;
316;316;1,2,3,4;;9,2,6,4,8;;;;;
317;317;;;;;;;;
318;318;;;;;;;;
319;319;;;;;;;;
320;320;;;;;;;;
321;321;;;;;;;;
322;322;1,2,6,8;;;;;;;
323;323;1,3,6,17,19,20,21,22;;;;;;;
324;324;;;;;;;;
325;325;;;;;;;;
326;326;;;;;;;;
327;327;1,8;;;;;;;
328;328;;;;;;;;
329;329;1,5,6,8;;;;;;;
330;330;3,10,6,4,11;;;;;;;
331;331;;;1,2,3,4;;;;1,2,3,4;
332;332;;;4,5,6,8;;;;;
333;333;;;;;;;;
334;334;;;;;;;;
335;335;;;;;;;;
336;336;;;;;;;;
337;337;;;;;;;;
338;338;5   8   15;;;;;;;
339;339;;;;;;;;
340;340;;;;;;;;
341;341;;;;;;;;
342;342;;;;;;;;
343;343;;;;;;;;
344;344;;;;;;;;
345;345;;;;;;;;
346;346;;;;;;;;
347;347;;;;;;;;
348;348;;;;;;;;
349;349;;;;;;;;
350;350;;;;;;;;
351;351;;;;;;;;
352;352;;;;;;;;
353;353;;;;;;;;
354;354;1,5,8;;;;;;;
355;355;6,8;;;;;;;
356;356;;;;;;;;
357;357;;;;;;;;
358;358;;;;;;;;
359;359;;;;;;;;
360;360;;;;;;;;
361;361;2,3,4,7;;;;;;;
362;362;2,3,6,7;;;;;;;
363;363;;;;;;;;
364;364;;;;;;;;
365;365;;;;;;;;
366;366;;;;;;;;
367;367;;;;;;;;
368;368;;;;;;;;
369;369;;;;;;;2;
370;370;;;;;;;;
371;371;;;;;;;;
372;372;;;;;;;;
373;373;;;;;;;;
374;374;;;;;;;;
375;375;;;;;;;;
376;376;;;1,2,3,8;;;;1,2,3,4;
377;377;;;;;;;;
378;378;;;;;;;;
379;379;1,2,6,8;;;;;;;
380;380;;;;;;;;
381;381;;;;;;;;
382;382;;;;;;;;
383;383;1     7;;;;;;;
384;384;;;;;;;;
385;385;;;;;;;;
386;386;;;;;;;;
387;387;;;;;;;;
388;388;;;;;;;;
389;389;;;;;;;;
390;390;;;;;;;;
391;391;3     5;;;;;;;
392;392;;;;;;;;
393;393;3,5;;;;;;;
394;394;;;;;;;;
395;395;;;;;;;;
396;396;;;;;;;;
397;397;2,4,7,8;;;;;;;
398;398;;;;;;;;
399;399;;;;;;;;
400;400;;;;;;;;
401;401;1,3,5,6;;;;;;;
402;402;;;;;;;;
403;403;;;;;;;;
404;404;;;;;;;;
405;405;;;;;;;;
406;406;;;;;;;;
407;407;;;;;;;;
408;408;;;;;;;;
409;409;;;;;;;;
410;410;;;;;;;;
411;411;;;;;;;;
412;412;;;;;;;;
413;413;;;;;;;;
414;414;;;;;;;;
415;415;4,8,7,2;;;;;;;
416;416;;;;;;;;
417;417;;;;;;;;
418;418;;;;;;;;
419;419;;;;;;;;
420;420;;;;;;;;
421;421;;;;;;;;
422;422;1 3 5 6;;;;;;;
423;423;;;;;;;;
424;424;;;;;;;;
425;425;;;;;;;;
426;426;;;;;;;;
427;427;;;;;;;;
428;428;;;;;;;;
429;429;;;;;;;;
430;430;;;;;;;;
431;431;;;;;;;;
432;432;;;;;;;;
433;433;;;;;;;;
434;434;;;;;;;;
435;435;;;;;;;;
436;436;;;;;;;;
437;437;;;4,6,7,8;;;;;
438;438;;;;;;;;
439;439;;;;;;;;
440;440;;;;;;;;
441;441;;;;;;;;
442;442;;;;;;;;
443;443;;;;;;;;
444;444;;;3,1;;;;;
445;445;;;;;;;;
446;446;;;;;;;;
447;447;;;;;;;;
448;448;2,7;;2,5;;;;;
449;449;1,2,4,6;;;;;;;
450;450;3,7;;;;;;;
451;451;2, 4, 5, 8;;;;;;;
512;452;2,,4,7,8,;;;;;;;
513;453;;;0;;0;;1,2,3,4;
514;454;2;;;;;;;
515;455;;;;;;;;
516;456;;;;;;;;
517;457;;;;;;;;
518;458;;;;;;;;
519;459;;;;;;;;
520;460;;;;;;;;
521;461;;;;;;;;
522;462;5,1,3,6;;;;;;;
523;463;;2,3,4,6;;;;;;
524;464;;;;;;;;
525;465;2,4,7,8;;;;;;;
526;466;;;;;;;;
527;467;;;;;;;;
528;468;;;;;;;;
529;469;;;;;;;;
530;470;;;;;;;;
531;471;;;;;;;;
532;472;;;1 2;;1 2 3 4;;1 2 3 4;
533;473;;;3 4 5;;;;;
534;474;;;;;;;;
535;475;;;;;;;;
536;476;;;;;;;;
537;477;;;;;;;;
538;478;2,19,21,24,35,41,44;;;;;;;
539;479;2,3,4,6;;;;;;;
540;480;;;;;;;;
541;481;;;;;;;;
542;482;;;;;;;;
543;483;;;;;;;;
544;484;;;;;;;;
545;485;;;;;;;;
546;486;;;;;;;;
547;487;;;;;;;;
548;488;;;;;;;;
549;489;;;;;;;;
550;490;;;;;;;;
551;491;;;;;;;;
552;492;;;1-8;;;;;
553;493;;;;;;;;
554;494;;;;;;;;
555;495;;;;;;;;
556;496;;;;;;;;
557;497;;0;0;0;3;0;3;0
558;498;;;;;;;;
559;499;;;;;;;;
560;500;;;;;;;;
561;501;;;;;;;;
562;502;;;;;;;;
563;503;;;;;;;;
564;504;;;;;;;;
565;505;;;;;;;;
566;506;;;;;;;;
567;507;;;;;;;;
568;508;;;;;;;;
569;509;;;;;;;;
570;510;;;;;;;;
571;511;;;;;;;;
572;512;;;;;;;;
573;513;;;;;;;;
574;514;1 5 6 8;;;;;;;
575;515;4,5;;;;;;;
576;516;7;;;;;;;
577;517;2,3,7;;;;;;;
578;518;1,7,8;;;;;;;
579;519;4;;;;;;;
580;520;1,2,8;;;;;;;
581;521;;;1,2,3,4;;1,2,3,4;;1,2,3,4;
582;522;;;1,2,3,4;;1,2,3,4;;1,2,3,4;
583;523;;;;;;;;
584;524;;;;;;;;
585;525;;;;;;;;
586;526;2,4,5,12;;;;;;;
587;527;;;;;;;;
588;528;;;;;;;;
589;529;;;;;;;;
590;530;;;;;;;;
591;531;;;;;;;;
592;532;;;;;;;;
593;533;;;;;;;;
594;534;;;;;;;;
595;535;;;;;;;;
596;536;;;;;;;;
597;537;;;;;;;;
598;538;;;;;;;;
599;539;;;;;;;;
600;540;;;;;;;;
601;541;;;;;;;;
602;542;;;;;;;;
603;543;;;;;;;;
604;544;;;;;;;;
605;545;12 16 7 19;;;;;;;
606;546;;;;;;;;
607;547;;;;;;;;
608;548;;;;;;;;
609;549;2  4   7   8;;;;;;;
610;550;;;1,2,3,4;;1,2,3,4;;1,2,3,4;
611;551;;;;;1,2,3,4;;1,2,3,4;
612;552;;;;;;;;
613;553;;;;;;;;
614;554;1    9     11    17;;;;;;;
615;555;;;;;;;;
616;556;A1118  A4170  MP3569;;;;;;;
617;557;;;;;;;;
618;558;;;;;;;;
619;559;2,3,7,8;;;;;;;
620;560;;;;;;;;
621;561;;;;;;;;
622;562;;;1,2,3,4;;;;;
623;563;;;;;;;;
624;564;;;;;;;;
625;565;;;;;;;;
626;566;;;;;;;;
627;567;;;;;;;;
628;568;;;1,2,3,4,5;;;;;
629;569;;;6,5;;1,2;;1,2;
630;570;;;;;;;;
631;571;;;;;;;;
632;572;;;;;;;;
633;573;;;;;;;;
634;574;;;;;;;;
635;575;;;;;;;;
636;576;;;;;;;;
637;577;1,2,3,4,5,6,7,8;;;;;;;
638;578;;;;;;;;
639;579;;;;;;;;
640;580;;;;;;;;
641;581;;;;;;;;
642;582;;;;;;;;
643;583;-------;;;;;;;
644;584;;;;;;;;
645;585;;;;;;;;
646;586;;;;;;;;
647;587;;;;;;;;
648;588;;;;;;;;
649;589;;;;;;;;
650;590;;;;;;;;
651;591;;;;;;;;
652;592;;;;;;;;
653;593;;;;;;;;
654;594;;;;;;;;
655;595;;;;;;;;
656;596;;;;;;;;
657;597;1,2,3,4;;;;;;;
658;598;20,26,30,34;;;;;;;
659;599;;;;;;;;
660;600;;;;;;;;
661;601;1,5,6,7;;;;;;;
662;602;1,2,3,4;;;;;;;
663;603;5,6;;;;;;;
664;604;1,2,7,8;;;;;;;
665;605;;;;;;;;
666;606;;;;;;;;
667;607;;;;;;;;
668;608;;;;;;;;
669;609;;;5,6;;;;;
670;610;;;;;1,2;;1,2;
671;611;;;;;;;;
672;612;;;;;;;;
673;613;5, 7, 1, 3;;;;;;;
674;614;;;;;;;;
675;615;;;;;;;;
676;616;;;;;;;;
677;617;;;;;;;;
678;618;;;;;;;;
679;619;;;;;;;;
680;620;;;;;;;;
681;621;;;;;;;;
682;622;;;;;;;;
683;623;;;;;;;;
684;624;;;;;;;;
685;625;;;;;;;;
686;626;;;;;;;;
687;627;;;;;;;;
688;628;;;;;;;;
689;629;;;;;;;;
690;630;;;;;;;;
691;631;;;;;;;;
692;632;;;;;;;;
693;633;4, 1, 2, 7, 8;;;;;;;
694;634;;;;;;;;
695;635;;;;;;;;
696;636;;;;;;;;
697;637;;;;;;;;
698;638;;;;;;;;
699;639;;;;;;;;
700;640;;;;;;;;
701;641;;;;;;;;
702;642;;;;;;;;
703;643;;;;;;;;
704;644;;;;;;;;
705;645;2  3  10  12  13  19  20;;;;;;;
706;646;;;;;;;;
707;647;;;1,2,3,4,5,6;;1,2,3,4;;1,2,3,4;
708;648;1   3   5   7;;;;;;;
709;649;6    14    15;;;;;;;
710;650;3   5  7   8;;;;;;;
711;651;;;;;;;;
712;652;;;;;;;;
713;653;1,3;;;;;;;
714;654;;;;;5,6,7,8;;5,6,7,8;
715;655;;;;;;;;
716;656;;;1,2,3,4;;;;;
717;657;;;;;;;;
718;658;;;;;;;;
719;659;;;;;;;;
720;660;;;;;;;;
721;661;;;;;;;;
722;662;;;;;;;;
723;663;;;;;;;;
724;664;;;;;;;;
725;665;;;;;;;;
726;666;;;;;;;;
727;667;;;+ Prüfgerät Range Check Error beheben;;;;;
728;668;;;;;;;;
729;669;;;;;;;;
730;670;;;;;;;;
731;671;7      16;;;;;;;
732;672;;;;;;;;
733;673;;;;;;;;
734;674;;;;;;;;
735;675;;;;;;;;
736;676;;;;;;;;
737;677;;;;;;;;
738;678;;;;;;;;
739;679;;;;;;;;
740;680;;;;;;;;
741;681;;;;;;;;
742;682;;;1,2,3,4;;1,2,3,4;;1,2,3,4;
743;683;;;;;;;;
744;684;;;;;;;;
745;685;;;;;;;;
746;686;;;;;;;;
747;687;;;1,2,3,4,5,6;1,2,3,4,5,6;;;;
748;688;;;;;;;;
749;689;;;;;;;;
750;690;;;;;;;;
751;691;;;;;;;;
752;692;;;;;;;;
753;693;;;;;;;;
754;694;;;;;;;;
755;695;;;;;;;;
756;696;;;;;;;;
757;697;;;;;;;;
758;698;;;;;;;;
759;699;;;1,2,3,4;;;;;
760;700;1,2,3,4;;;;;;;
761;701;;;;;;;1;
